Exercise_ID,Exercise_Name,Muscle_Group,Difficulty,Workout_Type,Equipment,Duration_Min,Calories_Burned_Per_Hour,Sets,Reps,Rest_Time_Sec,Recommended_Goal
1,Deadlift,Full Body,Intermediate,Flexibility,Machine,32,776,5,20,164,Endurance
2,Burpees,Full Body,Advanced,Endurance,Machine,89,155,2,11,48,Maintenance
3,Squats,Legs,Beginner,Cardio,Resistance Band,18,607,2,24,64,Endurance
4,Deadlift,Full Body,Beginner,Cardio,None,38,994,6,11,47,Muscle Gain
5,Running,Cardio,Beginner,Endurance,Machine,50,853,1,14,126,Muscle Gain
6,Lateral Raises,Shoulders,Intermediate,Flexibility,None,38,811,1,6,138,Muscle Gain
7,Push-Ups,Chest,Beginner,Strength,Dumbbells,68,384,3,20,107,Weight Loss
8,Deadlift,Full Body,Advanced,Endurance,Machine,75,318,2,8,104,Endurance
9,Bicep Curls,Biceps,Advanced,HIIT,Resistance Band,33,676,6,16,75,Muscle Gain
10,Swimming,Cardio,Intermediate,Flexibility,Resistance Band,12,529,3,14,33,Weight Loss
11,Leg Press,Legs,Intermediate,Cardio,None,85,167,5,21,163,Muscle Gain
12,Lat Pulldown,Back,Beginner,Cardio,Machine,66,438,5,15,56,Maintenance
13,Leg Press,Legs,Advanced,HIIT,Machine,30,505,2,11,94,Maintenance
14,Plank,Core,Beginner,Cardio,None,31,897,6,11,71,Muscle Gain
15,Swimming,Cardio,Intermediate,HIIT,Resistance Band,35,267,4,5,163,Maintenance
16,Shoulder Press,Shoulders,Beginner,Cardio,Dumbbells,30,235,1,17,66,Maintenance
17,Burpees,Full Body,Advanced,HIIT,Barbell,61,861,1,8,86,Weight Loss
18,Push-Ups,Chest,Intermediate,HIIT,Dumbbells,47,610,3,22,158,Muscle Gain
19,Cycling,Cardio,Intermediate,HIIT,Resistance Band,31,915,4,5,173,Endurance
20,Burpees,Full Body,Beginner,HIIT,Machine,69,761,5,11,55,Weight Loss
21,Deadlift,Full Body,Beginner,HIIT,Barbell,37,356,2,15,121,Weight Loss
22,Jump Rope,Cardio,Intermediate,Endurance,Resistance Band,76,449,1,21,31,Muscle Gain
23,Lat Pulldown,Back,Advanced,Endurance,Barbell,14,317,3,14,36,Maintenance
24,Deadlift,Full Body,Beginner,Cardio,None,17,711,5,10,165,Endurance
25,Plank,Core,Intermediate,Strength,Dumbbells,74,363,6,11,156,Maintenance
26,Shoulder Press,Shoulders,Beginner,Strength,None,11,309,5,9,105,Maintenance
27,Lateral Raises,Shoulders,Beginner,Strength,None,17,909,1,21,89,Muscle Gain
28,Push-Ups,Chest,Intermediate,HIIT,Dumbbells,54,367,5,21,85,Maintenance
29,Walking,Cardio,Beginner,Flexibility,Machine,75,881,6,15,40,Muscle Gain
30,Shoulder Press,Shoulders,Advanced,Flexibility,Barbell,78,209,1,23,41,Weight Loss
31,Walking,Cardio,Beginner,Endurance,Dumbbells,86,845,2,16,40,Weight Loss
