Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
Female,35,163.4,86.2,127,185,36.7,2021.6
Female,30,171.8,77.7,167,111,38.6,1432.3
Female,49,194.7,54.2,103,68,40.0,404.1
Male,65,184.3,63.2,138,151,39.1,1340.8
Female,54,178.4,103.8,12,104,38.4,155.7
Male,64,178.1,120.3,38,99,39.0,469.9
Male,18,184.9,96.3,82,111,36.9,889.3
Female,32,166.8,57.7,39,152,38.1,350.5
Female,44,173.7,123.5,20,174,37.1,451.9
Female,19,194.1,58.2,13,162,36.3,96.2
Male,65,163.6,61.5,121,107,36.8,776.6
Male,23,189.1,64.7,76,92,38.3,435.9
Male,63,179.5,88.4,114,62,36.4,624.3
Female,19,166.4,59.9,43,151,36.2,363.5
Male,45,171.3,122.9,97,166,39.0,2004.6
Male,48,152.0,49.9,174,70,36.2,595.6
Male,63,180.8,50.8,51,141,39.6,346.7
Female,63,156.4,90.6,124,137,36.3,1544.4
Female,31,178.7,112.0,70,124,37.4,986.6
Male,27,188.9,104.0,170,120,39.3,2118.5
Male,61,181.2,66.6,150,185,37.9,1845.2
Female,32,190.3,83.5,92,181,37.8,1380.3
Male,62,153.3,55.6,31,132,39.8,225.1
Female,42,181.6,96.5,71,134,36.8,936.7
Female,63,150.2,76.8,128,92,37.6,917.6
Female,55,182.8,50.6,71,152,37.1,533.8
Male,39,156.3,111.3,67,106,37.9,785.7
Female,24,180.3,60.0,163,184,38.8,1802.5
Female,25,183.0,78.0,66,138,37.4,692.0
Female,23,157.0,90.6,174,171,39.6,2702.7
Female,43,161.7,122.2,124,98,36.7,1497.4
Male,23,167.4,71.1,25,136,37.1,218.6
Female,44,187.7,79.0,63,176,37.7,873.2
Male,64,165.3,76.7,87,72,36.5,470.2
Male,28,173.1,103.3,140,115,36.3,1654.1
Male,53,155.9,61.6,96,113,39.7,673.9
Male,51,152.3,62.6,47,182,38.1,520.2
Female,64,167.2,112.6,101,152,38.7,1727.5
Male,35,172.9,65.7,109,100,38.4,694.4
Male,38,179.5,48.2,136,108,37.1,704.6
Female,49,183.2,70.7,66,170,36.6,796.9
Male,54,181.7,109.7,159,113,38.3,1991.9
Male,65,177.5,69.8,81,90,40.0,523.6
Male,59,158.4,113.6,61,105,39.8,753.7
Male,65,173.9,63.0,173,172,37.0,1869.3
Male,19,153.8,83.2,177,161,39.7,2349.1
Female,34,162.9,121.1,34,106,37.6,455.6
Female,54,170.3,85.1,66,139,39.7,778.5
Male,30,185.5,122.4,44,121,36.9,675.2
Female,38,155.1,100.5,92,175,38.8,1633.2
Female,65,165.1,109.6,102,69,37.6,780.9
Male,56,164.1,98.0,66,128,38.8,800.0
Male,29,161.8,78.3,18,99,37.5,128.7
Male,42,152.5,90.5,179,186,37.9,3000.8
Female,19,171.2,70.4,103,150,37.4,1072.1
Female,24,192.5,111.0,10,101,38.8,86.5
Male,49,172.1,129.2,56,183,38.4,1336.7
Male,39,158.6,104.7,146,145,37.5,2191.2
Male,55,171.1,91.9,66,84,38.4,484.5
Female,61,187.8,53.2,132,149,38.7,1033.0
Female,31,166.6,108.2,180,159,36.0,3125.6
Male,60,161.5,118.9,82,167,38.3,1636.9
Female,62,176.3,92.9,106,97,39.8,960.8
Female,47,191.9,128.1,143,146,38.4,2648.8
Female,64,194.2,122.0,149,152,37.6,2738.0
Male,54,193.2,50.9,83,128,39.5,528.2
Female,22,160.5,110.8,166,188,37.0,3474.6
Female,48,184.2,119.1,49,184,38.2,1057.5
Male,35,165.8,66.5,82,102,36.9,535.9
Male,47,188.1,97.9,146,136,38.6,1960.3
Female,25,159.3,73.2,127,101,39.5,961.4
Male,41,150.9,110.4,88,95,39.9,915.7
Female,24,154.8,101.4,71,109,36.0,787.7
Male,62,164.6,62.3,96,184,37.5,1090.3
Male,59,152.3,89.1,30,80,39.0,223.5
Male,26,171.1,129.3,103,149,39.3,1992.9
Male,25,185.8,124.4,124,164,39.7,2533.7
Male,58,154.0,58.0,77,149,37.6,662.9
Male,48,194.4,65.5,83,87,38.8,494.9
Female,25,190.5,89.2,61,172,37.2,963.9
