Food_ID,Food_Name,Category,Serving_Size_g,Calories,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Meal_Type,Diet_Type
1,Spinach,Vegetable,150,313,12.6,47.7,15.8,1.1,21.2,594,Snack,Muscle Gain
2,Oats,Carbohydrate,370,584,12.2,54.7,14.3,5.5,32.1,591,Dinner,Muscle Gain
3,Brown Rice,Carbohydrate,80,359,26.3,27.8,7.0,3.8,7.7,259,Dinner,Weight Loss
4,Tuna,Protein,426,782,33.9,36.2,29.5,9.8,9.4,1048,Lunch,Muscle Gain
5,Brown Rice,Carbohydrate,334,58,17.8,27.0,19.8,9.8,6.9,654,Snack,Maintenance
6,Apple,Fruit,386,582,44.2,35.1,22.1,9.2,34.6,1074,Breakfast,Muscle Gain
7,Salmon,Protein,37,248,37.8,36.3,26.8,6.1,11.5,7,Snack,Weight Loss
8,Cheese,Dairy,400,179,25.7,90.6,9.2,2.2,34.0,1152,Lunch,Weight Loss
9,Almonds,Healthy Fat,58,336,58.1,28.9,28.6,0.1,43.6,99,Breakfast,Weight Loss
10,Egg,Protein,244,488,50.0,26.5,38.4,0.8,45.8,389,Breakfast,Weight Loss
11,Brown Rice,Carbohydrate,344,783,30.8,80.4,18.0,15.4,32.8,620,Dinner,Muscle Gain
12,Sweet Potato,Carbohydrate,194,537,53.8,51.5,38.6,5.9,7.1,688,Breakfast,Maintenance
13,Tuna,Protein,252,753,18.9,81.3,6.4,11.0,24.0,65,Dinner,Maintenance
14,Peanut Butter,Healthy Fat,128,114,41.3,61.1,14.8,10.6,45.5,298,Dinner,Muscle Gain
15,Salmon,Protein,295,565,46.7,41.4,8.0,13.2,10.2,474,Lunch,Muscle Gain
16,Avocado,Healthy Fat,382,384,53.0,71.5,13.3,15.5,23.9,780,Lunch,Weight Loss
17,Egg,Protein,398,70,56.1,75.0,21.9,6.9,47.7,122,Breakfast,Weight Loss
18,Chicken Breast,Protein,233,446,54.2,48.4,8.8,11.4,39.8,3,Snack,Weight Loss
19,Avocado,Healthy Fat,33,196,26.2,99.1,29.7,10.4,3.7,1051,Breakfast,Muscle Gain
20,Tuna,Protein,477,572,14.3,25.8,7.1,1.7,2.5,562,Dinner,Muscle Gain
21,Almonds,Healthy Fat,238,503,6.4,86.8,3.9,8.6,0.1,533,Breakfast,Maintenance
22,Tuna,Protein,466,640,59.8,33.1,38.2,4.0,2.0,354,Dinner,Muscle Gain
23,Almonds,Healthy Fat,263,61,49.0,75.9,11.8,8.0,25.1,1089,Breakfast,Maintenance
24,Tuna,Protein,426,79,17.6,80.7,25.7,11.5,43.9,88,Lunch,Maintenance
25,Tuna,Protein,475,556,15.3,64.6,9.5,2.9,33.1,797,Lunch,Weight Loss
26,Apple,Fruit,294,287,13.0,13.8,5.2,4.8,39.8,131,Snack,Weight Loss
27,Tuna,Protein,446,362,48.3,40.1,29.4,4.6,33.6,1110,Dinner,Maintenance
28,Orange,Fruit,124,152,36.6,6.2,4.2,1.7,34.0,231,Dinner,Muscle Gain
29,Chicken Breast,Protein,293,197,21.1,23.5,8.3,17.7,17.9,754,Snack,Muscle Gain
30,Orange,Fruit,187,385,14.0,43.6,36.8,4.1,15.3,365,Snack,Weight Loss
31,Avocado,Healthy Fat,54,571,5.6,19.9,30.5,2.7,18.9,964,Breakfast,Muscle Gain
32,Orange,Fruit,297,178,51.9,56.6,16.4,17.4,2.6,188,Lunch,Maintenance
33,Spinach,Vegetable,69,630,0.2,61.2,8.8,0.7,27.2,460,Breakfast,Weight Loss
34,Olive Oil,Healthy Fat,335,512,22.0,84.3,19.5,5.8,22.0,501,Dinner,Weight Loss
35,Sweet Potato,Carbohydrate,52,55,43.3,70.8,3.3,16.1,15.4,1083,Breakfast,Weight Loss
36,Peanut Butter,Healthy Fat,123,442,59.5,33.2,37.2,13.7,35.3,73,Breakfast,Weight Loss
37,Tuna,Protein,438,129,54.7,15.0,4.3,15.2,6.4,536,Breakfast,Muscle Gain
38,Orange,Fruit,108,332,1.8,32.9,39.9,11.0,14.4,239,Dinner,Maintenance
39,Tuna,Protein,427,247,19.3,9.9,22.5,8.3,32.7,795,Breakfast,Weight Loss
40,Orange,Fruit,276,364,16.7,39.3,20.2,12.7,31.5,846,Dinner,Maintenance
41,Apple,Fruit,351,731,56.6,95.6,18.0,6.9,15.7,542,Lunch,Muscle Gain
42,Egg,Protein,460,449,33.1,28.6,39.4,14.1,43.2,952,Lunch,Maintenance
43,Broccoli,Vegetable,250,317,31.2,31.1,34.3,13.6,2.6,65,Lunch,Weight Loss
44,Egg,Protein,65,716,11.6,40.3,10.7,11.8,11.7,594,Breakfast,Weight Loss
45,Orange,Fruit,66,44,15.7,91.1,29.4,15.8,48.7,563,Lunch,Weight Loss
46,Tuna,Protein,359,52,2.6,95.2,24.6,13.1,10.1,857,Dinner,Weight Loss
47,Avocado,Healthy Fat,74,744,17.9,53.8,36.0,6.2,8.6,497,Lunch,Maintenance
48,Cheese,Dairy,194,393,51.5,49.8,28.2,19.1,26.5,274,Dinner,Muscle Gain
49,Greek Yogurt,Protein,139,475,34.3,37.1,23.1,10.5,16.1,381,Dinner,Maintenance
50,Tuna,Protein,287,335,50.5,6.5,8.7,14.6,16.0,1037,Lunch,Maintenance
51,Avocado,Healthy Fat,463,139,9.1,13.9,8.1,0.2,20.1,743,Lunch,Maintenance
52,Tuna,Protein,296,198,0.9,47.5,38.5,3.3,38.1,467,Dinner,Muscle Gain
53,Peanut Butter,Healthy Fat,377,181,35.0,90.2,4.5,1.1,13.5,136,Snack,Weight Loss
54,Oats,Carbohydrate,420,389,30.8,64.2,16.4,18.4,18.7,1084,Snack,Maintenance
55,Olive Oil,Healthy Fat,265,360,4.6,47.1,21.4,14.1,45.5,477,Snack,Maintenance
56,Apple,Fruit,352,622,28.6,93.9,24.9,0.2,25.1,318,Lunch,Maintenance
57,Egg,Protein,212,545,35.9,51.5,9.3,17.9,19.4,387,Snack,Muscle Gain
58,Banana,Fruit,199,200,9.6,99.0,9.3,5.4,37.6,56,Breakfast,Maintenance
59,Banana,Fruit,197,382,47.2,43.6,29.5,6.4,33.3,53,Breakfast,Weight Loss
60,Brown Rice,Carbohydrate,227,627,11.8,50.1,14.9,16.6,11.4,189,Lunch,Weight Loss
61,Broccoli,Vegetable,459,543,53.6,38.4,24.9,18.2,0.2,256,Dinner,Maintenance
62,Broccoli,Vegetable,282,75,17.0,43.4,24.8,1.0,34.6,642,Breakfast,Muscle Gain
63,Broccoli,Vegetable,475,251,32.6,37.0,28.6,8.5,15.2,80,Snack,Weight Loss
64,Tuna,Protein,324,84,39.9,15.3,34.1,12.8,46.6,1153,Snack,Muscle Gain
65,Orange,Fruit,51,721,48.9,38.6,4.9,12.5,4.1,171,Lunch,Muscle Gain
66,Brown Rice,Carbohydrate,423,591,11.3,38.1,4.8,9.6,40.4,297,Breakfast,Maintenance
67,Carrot,Vegetable,461,265,28.0,92.4,20.1,11.8,14.3,329,Dinner,Maintenance
68,Almonds,Healthy Fat,376,401,23.5,44.9,29.5,7.0,41.7,10,Snack,Weight Loss
69,Egg,Protein,181,317,22.4,22.9,28.7,9.1,22.6,1083,Dinner,Maintenance
70,Peanut Butter,Healthy Fat,386,636,34.8,72.9,26.4,15.1,24.7,753,Lunch,Muscle Gain
71,Tuna,Protein,264,467,29.3,67.1,33.1,1.6,16.8,240,Snack,Weight Loss
72,Orange,Fruit,111,524,46.4,64.0,8.6,1.1,15.9,606,Breakfast,Maintenance
73,Greek Yogurt,Protein,189,240,55.9,99.7,4.8,12.4,1.2,698,Dinner,Weight Loss
74,Olive Oil,Healthy Fat,407,499,26.6,19.1,15.0,4.9,2.8,870,Lunch,Weight Loss
75,Cheese,Dairy,70,145,39.3,31.8,34.0,9.3,47.1,199,Lunch,Muscle Gain
76,Broccoli,Vegetable,37,326,12.1,42.1,18.4,1.8,32.2,1077,Dinner,Muscle Gain
77,Egg,Protein,314,677,51.8,30.8,11.7,3.2,31.6,765,Breakfast,Weight Loss
78,Cheese,Dairy,316,781,45.4,32.1,18.6,9.0,25.5,111,Dinner,Muscle Gain
79,Cheese,Dairy,63,299,26.6,49.1,23.8,10.5,42.8,358,Lunch,Weight Loss
80,Orange,Fruit,411,415,7.0,23.0,28.3,8.1,36.1,504,Snack,Maintenance
81,Salmon,Protein,263,99,44.8,79.8,26.9,14.8,19.2,538,Breakfast,Muscle Gain
82,Olive Oil,Healthy Fat,464,629,48.5,98.2,12.1,14.3,27.4,425,Lunch,Muscle Gain
83,Salmon,Protein,474,101,28.4,13.8,8.8,9.4,1.8,647,Dinner,Weight Loss
84,Sweet Potato,Carbohydrate,217,236,38.3,26.1,32.8,1.6,5.0,545,Dinner,Muscle Gain
85,Cheese,Dairy,401,411,15.7,53.5,34.1,17.5,10.2,1142,Snack,Muscle Gain
86,Egg,Protein,171,647,17.0,43.6,37.1,2.1,18.7,1184,Snack,Maintenance
87,Salmon,Protein,40,151,34.1,40.5,0.8,5.8,10.4,1023,Lunch,Maintenance
88,Oats,Carbohydrate,178,568,21.8,31.6,36.2,3.4,35.4,609,Breakfast,Weight Loss
89,Salmon,Protein,381,327,31.1,37.2,9.1,18.6,5.6,101,Breakfast,Weight Loss
90,Peanut Butter,Healthy Fat,321,390,3.1,87.9,7.5,13.6,38.2,991,Breakfast,Muscle Gain
91,Avocado,Healthy Fat,370,288,30.2,81.6,35.4,2.0,41.5,1145,Dinner,Muscle Gain
92,Almonds,Healthy Fat,382,460,56.6,95.2,24.3,12.4,43.8,431,Breakfast,Maintenance
93,Spinach,Vegetable,450,769,29.1,70.3,29.1,7.3,26.8,812,Breakfast,Maintenance
94,Olive Oil,Healthy Fat,269,457,48.0,69.8,36.4,8.4,26.6,337,Snack,Weight Loss
95,Apple,Fruit,393,438,0.6,16.9,34.9,6.9,41.8,553,Snack,Weight Loss
96,Peanut Butter,Healthy Fat,125,544,40.6,65.5,20.4,2.0,22.5,184,Lunch,Maintenance
97,Sweet Potato,Carbohydrate,332,191,6.4,75.6,4.8,2.2,36.3,1026,Snack,Muscle Gain
98,Tuna,Protein,219,351,17.9,42.8,17.6,19.9,27.7,870,Dinner,Muscle Gain
99,Salmon,Protein,287,181,29.9,44.4,29.2,9.8,8.4,138,Snack,Maintenance
100,Peanut Butter,Healthy Fat,140,282,15.7,19.4,19.0,1.1,25.7,826,Breakfast,Weight Loss
101,Cheese,Dairy,180,758,11.4,34.3,38.1,16.2,23.3,577,Snack,Muscle Gain
102,Peanut Butter,Healthy Fat,116,461,58.5,50.3,4.1,1.6,20.8,440,Snack,Weight Loss
103,Apple,Fruit,355,621,21.9,59.9,3.0,14.5,3.5,193,Snack,Maintenance
104,Egg,Protein,329,771,21.8,31.8,18.0,14.3,37.2,623,Lunch,Muscle Gain
105,Sweet Potato,Carbohydrate,169,699,23.9,42.1,13.6,16.3,42.2,6,Snack,Muscle Gain
106,Carrot,Vegetable,462,227,20.0,91.2,9.2,0.8,40.2,833,Dinner,Weight Loss
107,Orange,Fruit,158,381,13.1,46.1,36.8,10.4,8.2,944,Snack,Weight Loss
108,Almonds,Healthy Fat,450,468,47.2,99.9,0.2,6.2,4.5,727,Dinner,Maintenance
109,Cheese,Dairy,477,637,46.1,54.2,26.9,11.3,33.2,331,Dinner,Maintenance
110,Spinach,Vegetable,80,104,14.5,5.5,12.4,17.0,4.5,85,Dinner,Muscle Gain
111,Egg,Protein,366,270,57.2,9.6,11.4,8.5,10.8,1038,Lunch,Muscle Gain
112,Sweet Potato,Carbohydrate,294,452,30.2,30.3,13.2,19.2,49.7,866,Breakfast,Maintenance
113,Brown Rice,Carbohydrate,42,714,41.8,1.2,24.5,5.3,23.5,620,Dinner,Muscle Gain
114,Greek Yogurt,Protein,469,655,7.8,1.2,17.9,1.6,13.9,595,Breakfast,Weight Loss
115,Greek Yogurt,Protein,307,576,45.5,33.8,1.8,16.6,12.9,187,Snack,Weight Loss
116,Oats,Carbohydrate,247,727,23.0,82.3,34.1,2.4,9.5,945,Snack,Weight Loss
117,Spinach,Vegetable,87,474,14.2,51.4,38.7,10.6,22.0,446,Dinner,Weight Loss
118,Peanut Butter,Healthy Fat,370,668,50.9,16.6,33.5,8.2,1.2,760,Snack,Muscle Gain
119,Olive Oil,Healthy Fat,243,650,5.3,90.2,34.8,12.1,33.0,916,Dinner,Maintenance
120,Greek Yogurt,Protein,269,452,40.6,68.1,3.6,10.5,45.6,1122,Snack,Weight Loss
121,Spinach,Vegetable,326,683,55.0,12.2,24.7,3.3,10.8,308,Dinner,Weight Loss
122,Broccoli,Vegetable,121,109,55.2,56.9,8.2,18.2,9.6,1081,Lunch,Maintenance
123,Orange,Fruit,353,576,8.7,66.4,21.6,6.1,34.7,167,Dinner,Maintenance
124,Carrot,Vegetable,410,536,20.8,82.0,19.5,2.3,20.8,806,Lunch,Weight Loss
125,Milk,Dairy,361,559,50.7,43.7,3.2,9.7,29.0,1126,Breakfast,Maintenance
126,Salmon,Protein,39,591,8.4,7.8,39.8,5.2,46.5,811,Dinner,Muscle Gain
127,Almonds,Healthy Fat,341,471,30.3,92.1,25.6,14.8,16.1,79,Lunch,Maintenance
128,Apple,Fruit,315,690,50.1,6.2,2.9,19.2,42.4,385,Dinner,Maintenance
129,Olive Oil,Healthy Fat,95,532,47.7,55.9,16.1,15.0,4.0,145,Breakfast,Muscle Gain
130,Avocado,Healthy Fat,255,680,10.4,65.8,27.8,3.3,23.6,610,Breakfast,Weight Loss
131,Chicken Breast,Protein,378,536,46.5,84.7,23.0,4.8,11.6,46,Dinner,Muscle Gain
132,Peanut Butter,Healthy Fat,423,714,45.2,43.1,5.8,15.5,41.5,749,Dinner,Weight Loss
133,Chicken Breast,Protein,298,474,57.8,55.2,20.0,8.0,11.0,450,Snack,Muscle Gain
134,Oats,Carbohydrate,38,331,35.2,32.8,12.4,10.5,49.2,47,Lunch,Maintenance
135,Sweet Potato,Carbohydrate,46,411,56.3,74.6,30.7,17.6,27.9,757,Lunch,Maintenance
136,Broccoli,Vegetable,218,416,31.1,33.1,13.3,18.0,2.3,31,Breakfast,Muscle Gain
137,Almonds,Healthy Fat,245,55,48.8,64.3,13.4,10.2,4.7,739,Lunch,Maintenance
138,Sweet Potato,Carbohydrate,402,692,46.5,97.4,30.9,14.6,30.6,25,Snack,Weight Loss
139,Milk,Dairy,33,522,58.2,90.9,4.2,3.3,3.3,929,Snack,Muscle Gain
140,Banana,Fruit,82,57,48.0,51.9,34.8,11.2,5.2,9,Breakfast,Maintenance
141,Tuna,Protein,347,99,55.3,65.6,0.0,17.3,33.7,1092,Lunch,Muscle Gain
142,Peanut Butter,Healthy Fat,289,524,48.8,42.4,35.2,18.2,15.7,283,Snack,Muscle Gain
143,Cheese,Dairy,320,292,0.8,76.1,39.5,6.8,41.6,792,Lunch,Maintenance
144,Tuna,Protein,135,368,45.4,19.6,20.8,16.0,2.1,1079,Lunch,Muscle Gain
145,Apple,Fruit,128,428,32.9,32.5,28.9,10.3,47.3,468,Breakfast,Maintenance
146,Chicken Breast,Protein,324,524,24.2,58.4,27.4,8.5,34.1,50,Snack,Weight Loss
147,Cheese,Dairy,224,566,8.0,72.3,16.0,17.2,28.1,1110,Breakfast,Weight Loss
148,Olive Oil,Healthy Fat,373,186,7.8,73.3,34.7,10.9,42.4,699,Lunch,Maintenance
149,Oats,Carbohydrate,275,234,41.1,43.1,21.1,19.5,0.2,656,Lunch,Muscle Gain
150,Olive Oil,Healthy Fat,69,195,50.1,85.8,35.6,19.1,23.4,16,Snack,Muscle Gain
151,Apple,Fruit,432,311,34.4,19.8,24.0,19.9,47.9,1129,Breakfast,Muscle Gain
152,Broccoli,Vegetable,500,591,47.3,90.7,1.2,4.7,36.8,1109,Lunch,Maintenance
153,Greek Yogurt,Protein,334,374,50.4,74.9,32.6,1.2,17.0,990,Dinner,Weight Loss
154,Milk,Dairy,201,621,44.0,80.2,33.9,0.6,37.7,1007,Lunch,Maintenance
155,Milk,Dairy,257,264,24.2,97.6,13.5,5.6,38.6,689,Breakfast,Weight Loss
156,Brown Rice,Carbohydrate,441,174,4.3,92.0,37.8,19.6,33.3,467,Lunch,Weight Loss
157,Brown Rice,Carbohydrate,268,107,16.9,33.5,0.9,4.7,42.3,218,Snack,Maintenance
158,Brown Rice,Carbohydrate,254,785,9.8,30.0,36.4,8.4,10.8,463,Snack,Maintenance
159,Banana,Fruit,383,317,3.7,13.6,37.7,15.1,46.4,141,Dinner,Weight Loss
160,Banana,Fruit,153,93,35.2,70.5,21.1,0.1,25.7,965,Dinner,Maintenance
161,Oats,Carbohydrate,214,664,13.1,65.5,27.7,16.9,37.0,862,Breakfast,Weight Loss
162,Broccoli,Vegetable,393,244,45.5,39.5,3.6,14.6,14.4,237,Snack,Weight Loss
163,Avocado,Healthy Fat,497,451,50.7,26.4,39.1,4.0,14.0,245,Breakfast,Muscle Gain
164,Chicken Breast,Protein,395,367,43.4,55.0,32.1,19.0,14.4,113,Snack,Muscle Gain
165,Broccoli,Vegetable,151,133,48.7,4.8,20.4,16.0,27.3,316,Dinner,Maintenance
166,Salmon,Protein,249,182,2.1,42.9,7.3,16.3,7.2,589,Snack,Weight Loss
167,Banana,Fruit,113,427,27.4,32.2,18.0,7.5,3.2,1200,Lunch,Muscle Gain
168,Banana,Fruit,206,673,22.3,96.3,5.0,6.9,34.3,905,Breakfast,Muscle Gain
